station_id,station_name_th,station_name_en,area_th,latitude,longitude,reading_date,reading_time,pm25_ugm3,pm25_aqi,pm10_ugm3,aqi,is_chiang_mai,is_northern,retrieved_at
70t,สนามกีฬาจังหวัดพะเยา,"Phayao Provincial, Phayao","ต.บ้านต๋อม อ.เมือง, พะเยา",19.200226,99.893048,2026-09-04,04:00,10.2,17.0,,17,False,True,2026-09-05T02:38:09
120t,สนามกีฬากลางจังหวัดพัทลุง,Phatthalung Provincial Stadium,"ต.เขาเจียก อ.เมือง, พัทลุง",7.6156514,100.0480234,2026-09-05,02:00,6.1,10.0,,11,False,False,2026-09-05T02:38:09
95t,สนามกีฬาจังหวัดพิจิตร," Phichit Provincial , Phichit","ต.ในเมือง อ.เมือง, พิจิตร",16.442554,100.322756,2026-09-05,02:00,11.2,19.0,30.0,19,False,False,2026-09-05T02:38:09
86t,สวนชมน่านเฉลิมพระเกียรติ,Chom Nan Chaloem Phrakiat Public Park,"ต.ในเมือง อ.เมือง, พิษณุโลก",16.820833,100.258056,2026-09-05,02:00,,,,6,False,False,2026-09-05T02:38:09
43t,ศูนย์บริการสาธารณสุขเทศบาลภูเก็ต,Municipal Health Center,"ต.ตลาดใหญ่ อ.เมือง, ภูเก็ต",7.884488,98.391283,2026-09-04,22:00,5.7,10.0,,10,False,False,2026-09-05T02:38:09
114t,สวนสุขภาพประมวลสุข,Pramuan Suk Health Park,"ต.ตลาด อ.เมือง, มหาสารคาม",16.177283,103.299824,2026-09-05,01:00,10.1,17.0,23.0,17,False,False,2026-09-05T02:38:09
102t,สนามกีฬากลางจังหวัดมุกดาหาร,Mukdahan Provincial Stadium,"ต.มุกดาหาร อ.เมือง, มุกดาหาร",16.54257,104.7192,2026-09-05,02:00,13.6,23.0,29.0,23,False,False,2026-09-05T02:38:09
63t,สนามโรงพิธีช้างเผือก ,White Elephant Park,"ต.สะเตง อ.เมือง, ยะลา",6.546205,101.283137,2026-09-04,22:00,7.2,12.0,,12,False,False,2026-09-05T02:38:09
78t,ศูนย์พัฒนาเด็กเล็กเทศบาลเมืองเบตง,"child development centers, Betong","ต.เบตง อ.เบตง, ยะลา",5.763873,101.067903,2026-09-05,01:00,6.4,11.0,,11,False,False,2026-09-05T02:38:09
109t,สวนสาธารณะพญาแถน,Phaya Thaen Public Park,"ต.ในเมือง,อ.เมือง, ยโสธร",15.783861,104.154639,2026-09-05,02:00,14.4,24.0,,24,False,False,2026-09-05T02:38:09
28t,สำนักงานสาธารณสุขอำเภอปลวกแดง,Pluakdaeng District Health Office,"ต.ปลวกแดง อ.ปลวกแดง, ระยอง",12.97378333,101.21285,2026-09-05,02:00,19.0,35.0,,35,False,False,2026-09-05T02:38:09
29t,โรงพยาบาลส่งเสริมสุขภาพตำบลมาบตาพุด ,Health Promotion Hospital Maptaput,"ต.มาบตาพุด อ.เมือง, ระยอง",12.70865,101.1659833,2026-09-05,02:00,21.0,40.0,57.0,40,False,False,2026-09-05T02:38:09
30t,สนามกีฬากลางจังหวัดระยอง,Rayong Provincial Stadium,"สนามกีฬากลางจังหวัดระยอง ต.เนินพระ อ.เมือง, ระยอง",12.678917,101.234664,2026-09-05,02:00,11.6,19.0,42.0,21,False,False,2026-09-05T02:38:09
31t,ศูนย์วิจัยพืชไร่ระยอง ,"Field Crop Research Center, Rayong","ต.ห้วยโป่ง อ.เมือง, ระยอง",12.73518333,101.13565,2026-09-05,02:00,32.5,80.0,,80,False,False,2026-09-05T02:38:09
74t,ศูนย์ราชการจังหวัดระยอง ,"Government Complex, Rayong","ศูนย์ราชการจังหวัดระยอง  ต.เนินพระ อ.เมือง, ระยอง",12.7066,101.18055,2026-09-05,02:00,16.3,29.0,,29,False,False,2026-09-05T02:38:09
o63,ค่ายสุรสิงหนาท,Khai Surasinghanat,"ต.ตะพง อ.เมือง, ระยอง",12.648576,101.32245,2026-09-05,02:00,8.7,15.0,,15,False,False,2026-09-05T02:38:09
26t,สำนักงานสิ่งแวดล้อมภาคที่8,Environmental Office 8 ratchaburi,"ต.หน้าเมือง อ.เมือง, ราชบุรี",13.52344,99.814082,2026-09-05,02:00,17.6,32.0,,32,False,False,2026-09-05T02:38:09
113t,บึงพลาญชัย,Bueng Planchai,"ต.ในเมือง อ.เมือง, ร้อยเอ็ด",16.057448,103.651056,2026-09-05,02:00,12.5,21.0,24.0,21,False,False,2026-09-05T02:38:09
99t,สถานีอุตุนิยมวิทยาลพบุรี, Meteorological Station Lopburi,"ต.ทะเลชุบศร อ.เมือง, ลพบุรี",14.800032,100.628548,2026-09-05,02:00,16.0,28.0,33.0,28,False,False,2026-09-05T02:38:09
37t,สถานีอุตุนิยมวิทยาลำปาง,"Meteorological stations, Lampang","ต.พระบาท อ.เมือง, ลำปาง",18.2783333,99.5064666,2026-09-04,17:00,11.1,19.0,,19,False,True,2026-09-05T02:38:09
38t,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสบป้าด ,"Health Promotion Hospital Sob Pad, Lampang","ต.สบป้าด อ.แม่เมาะ, ลำปาง",18.2508166,99.76395,2026-09-04,17:00,10.7,18.0,,18,False,True,2026-09-05T02:38:09
39t,โรงพยาบาลส่งเสริมสุขภาพตำบลท่าสี ,Health Promotion Hospital Banthasri,"ต.บ้านดง อ.แม่เมาะ, ลำปาง",18.4267833,99.7576333,2026-09-04,17:00,10.6,18.0,,18,False,True,2026-09-05T02:38:09
40t,การประปาส่วนภูมิภาคแม่เมาะ,Provincial Waterworks Authority Mae Moh,"ต.แม่เมาะ อ.แม่เมาะ, ลำปาง",18.2826333,99.6598166,2026-09-05,02:00,12.7,21.0,,21,False,True,2026-09-05T02:38:09
